"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.032077917E-1,9.205531803E-1,-2.098330347E0,-3.031069125E0,3.799708995E0
6.132637917E-1,1.470013404E0,-2.474520907E0,-3.490170279E0,4.523879054E0
6.233207917E-1,1.413084620E0,-2.565986270E0,-4.045282713E0,4.994537607E0
6.333777917E-1,1.036035982E0,-2.450412544E0,-4.920935417E0,5.594059132E0
6.434347917E-1,9.689745578E-1,-3.712139648E0,-4.658261533E0,6.034757076E0
6.534907917E-1,6.905012047E-1,-4.216258807E0,-3.543343688E0,5.550577874E0
6.635477917E-1,5.711294201E-1,-4.414276519E0,-2.202634442E0,4.966248533E0
6.736047917E-1,3.657980105E-1,-4.530808604E0,-8.216899198E-1,4.619221700E0
6.836607917E-1,-2.779123127E-2,-4.141511511E0,3.832575041E-1,4.159299972E0
6.937177917E-1,-4.634967980E-1,-3.186957356E0,1.063984503E0,3.391694192E0
7.037747917E-1,-6.681847215E-1,-2.366973654E0,1.316596498E0,2.789706336E0
7.138317917E-1,-8.821732262E-1,-1.822745080E0,1.384555762E0,2.453084566E0
7.238877917E-1,-1.028620835E0,-1.291534455E0,1.462436582E0,2.205638871E0
7.339447917E-1,-1.039855383E0,-8.834860723E-1,1.562775387E0,2.074635816E0
7.440017917E-1,-8.548798853E-1,-5.469787384E-1,1.584972003E0,1.882057812E0
7.540587917E-1,-6.475893661E-1,-3.576841948E-1,1.426409547E0,1.606846031E0
7.641147917E-1,-5.258544293E-1,-2.782159294E-1,1.149782453E0,1.294575866E0
7.741717917E-1,-5.139644086E-1,-6.356202984E-2,7.967088604E-1,9.502339466E-1
7.842287917E-1,-5.942490184E-1,1.192781561E-1,5.656140339E-1,8.290225629E-1
7.942857917E-1,-7.748010975E-1,1.738063291E-1,5.852425522E-1,9.864249721E-1
8.043417917E-1,-1.214343899E0,7.362353481E-2,8.465528655E-1,1.482127958E0
8.143987917E-1,-1.441342167E0,2.209931767E-1,1.141776445E0,1.852014761E0
8.244557917E-1,-1.610501823E0,9.829621209E-1,1.293950817E0,2.287846011E0
8.345127917E-1,-1.378517050E0,1.272466977E0,1.680598537E0,2.518708579E0
8.445687917E-1,-1.252839628E0,1.194332096E0,2.279842831E0,2.862467402E0
8.546257917E-1,-7.909695259E-1,2.250372134E0,2.709244807E0,3.609683498E0
8.646827917E-1,-6.561529058E-1,2.112110773E0,3.086896001E0,3.797430114E0
8.747387917E-1,-9.811633712E-1,3.059888297E0,3.460544776E0,4.722390083E0
8.847957917E-1,-1.185200207E0,2.536952797E0,4.202977442E0,5.050331514E0
8.948527917E-1,-1.797745456E0,1.805144522E0,4.628126737E0,5.282990873E0
9.049097917E-1,-2.169924825E0,1.902850327E0,4.666441203E0,5.486810240E0
9.149657917E-1,-2.521905865E0,1.853841742E0,4.402062271E0,5.401378586E0
9.250227917E-1,-2.818966055E0,1.648589124E0,3.636471123E0,4.887569738E0
9.350797917E-1,-2.871365586E0,1.355058898E0,2.567929299E0,4.083526152E0
